""	"OBJECTID"	"ULAND"	"UREGBEZ"	"UKREIS"	"UGEMEINDE"	"UJAHR"	"UMONAT"	"USTUNDE"	"UWOCHENTAG"	"UKATEGORIE"	"UART"	"UTYP1"	"ULICHTVERH"	"IstRad"	"IstPKW"	"IstFuss"	"IstKrad"	"IstGkfz"	"IstSonstig"	"LINREFX"	"LINREFY"	"XGCSWGS84"	"YGCSWGS84"	"STRZUSTAND"	"geometry"
"4858"	202180	"11"	"0"	"01"	"001"	"2019"	"12"	"14"	"3"	"3"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	797624.153959	5827015.50445	13.386652712	52.511826115	"0"	c(797624.153959072, 5827015.50444863, 0.0871000000042841)
"4859"	202186	"11"	"0"	"07"	"007"	"2019"	"12"	"14"	"3"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	798504.512778	5814424.92345	13.388331519	52.398485451	"0"	c(798504.512777702, 5814424.92344706, 0.0182000000058906)
"4860"	202190	"11"	"0"	"11"	"011"	"2019"	"12"	"12"	"3"	"3"	"1"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	805065.549922	5831264.54452	13.499866427	52.545797314	"1"	c(805065.549922445, 5831264.54451718, 0.158999999999651)
"4861"	202191	"11"	"0"	"09"	"009"	"2019"	"12"	"12"	"3"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	808195.101709	5819624.28041	13.535105402	52.439716446	"1"	c(808195.101709334, 5819624.28040773, 6.28710000000137)
"4862"	202192	"11"	"0"	"01"	"001"	"2019"	"12"	"12"	"3"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	794560.926034	5828649.01503	13.343092259	52.528132265	"2"	c(794560.926034247, 5828649.01502919, 0.118000000002212)
"4863"	202196	"11"	"0"	"04"	"004"	"2019"	"12"	"09"	"3"	"2"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	792856.956247	5824324.2902	13.314240985	52.490280648	"0"	c(792856.956247249, 5824324.29019699, 0.0142999999952735)
"4864"	202199	"11"	"0"	"10"	"010"	"2019"	"12"	"08"	"3"	"3"	"7"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	813514.253882	5827712.33056	13.620705099	52.509170692	"0"	c(813514.253882369, 5827712.33056104, 0.025099999998929)
"4865"	202200	"11"	"0"	"02"	"002"	"2019"	"12"	"22"	"3"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	797274.070733	5824525.62823	13.379286652	52.489698	"1"	c(797274.07073258, 5824525.62822621, 0.0087000000057742)
"4866"	202208	"11"	"0"	"04"	"004"	"2019"	"12"	"17"	"3"	"3"	"1"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	793651.968168	5825790.76054	13.327209339	52.50299982	"1"	c(793651.968168472, 5825790.76054337, 2.99730000000272)
"4867"	202210	"11"	"0"	"01"	"001"	"2019"	"12"	"17"	"3"	"3"	"1"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	794555.509861	5828999.78866	13.34332344	52.531279634	"0"	c(794555.509861385, 5828999.78866069, 0.660900000002584)
"4868"	202212	"11"	"0"	"06"	"006"	"2019"	"12"	"16"	"3"	"3"	"5"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	796782.648938	5818442.92341	13.36666149	52.43543943	"0"	c(796782.648937508, 5818442.92340627, 0.331000000005588)
"4869"	202213	"11"	"0"	"04"	"004"	"2019"	"12"	"07"	"3"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	786899.817432	5825765.39321	13.227986639	52.506364757	"2"	c(786899.817431893, 5825765.39321455, 0.0543000000034226)
"4870"	202215	"11"	"0"	"11"	"011"	"2019"	"12"	"04"	"3"	"3"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	806402.55524	5831228.44376	13.519488067	52.544723523	"1"	c(806402.555239779, 5831228.44375875, 0.182100000005448)
"4871"	202219	"11"	"0"	"06"	"006"	"2019"	"12"	"08"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	791835.709938	5821375.65557	13.296661996	52.464393298	"2"	c(791835.709937712, 5821375.65556962, 0.013200000001234)
"4872"	202221	"11"	"0"	"03"	"003"	"2019"	"12"	"07"	"3"	"3"	"6"	"7"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	802771.261553	5837403.23627	13.471741944	52.602096533	"0"	c(802771.261553465, 5837403.23627063, 0.0890999999974156)
"4873"	202225	"11"	"0"	"09"	"009"	"2019"	"12"	"17"	"2"	"3"	"6"	"6"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	812169.725601	5820407.45399	13.594120916	52.444480691	"0"	c(812169.725600505, 5820407.45399311, 0.0372000000061234)
"4874"	202226	"11"	"0"	"01"	"001"	"2019"	"12"	"09"	"2"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	797156.742593	5826452.32602	13.379282682	52.507032669	"1"	c(797156.742593241, 5826452.32601856, 0.00770000000193249)
"4875"	202227	"11"	"0"	"08"	"008"	"2019"	"12"	"12"	"2"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	801498.854849	5820182.09854	13.437397537	52.44844906	"0"	c(801498.854848521, 5820182.09854481, 0.0967999999993481)
"4876"	202230	"11"	"0"	"06"	"006"	"2019"	"12"	"20"	"2"	"3"	"0"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	795771.313516	5820232.71523	13.353412375	52.452031518	"1"	c(795771.313515687, 5820232.71522886, 0.150699999998324)
"4877"	202237	"11"	"0"	"03"	"003"	"2019"	"12"	"18"	"4"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	799723.329991	5830079.38498	13.420254022	52.538139559	"0"	c(799723.329990743, 5830079.38497986, 0.0114999999932479)
"4878"	202241	"11"	"0"	"08"	"008"	"2019"	"12"	"17"	"4"	"3"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	800912.810159	5824454.71172	13.432653418	52.487068851	"0"	c(800912.810159135, 5824454.71172188, 0.0847999999969034)
"4879"	202245	"11"	"0"	"07"	"007"	"2019"	"12"	"17"	"4"	"3"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	794664.696616	5821802.18565	13.338560395	52.466698639	"0"	c(794664.696615828, 5821802.18565448, 0.0120000000024447)
"4880"	202247	"11"	"0"	"04"	"004"	"2019"	"12"	"13"	"4"	"3"	"2"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	794393.873701	5825715.42908	13.338041338	52.501924739	"0"	c(794393.873700582, 5825715.42907522, 0.339500000001863)
"4881"	202260	"11"	"0"	"09"	"009"	"2019"	"12"	"20"	"3"	"3"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	806271.103001	5820979.26495	13.508131219	52.45294125	"0"	c(806271.103001081, 5820979.26495237, 0.935500000006869)
"4882"	202262	"11"	"0"	"05"	"005"	"2019"	"12"	"19"	"3"	"3"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	782383.230917	5827031.02404	13.162693001	52.520069588	"0"	c(782383.23091677, 5827031.02404184, 0.657300000006217)
"4883"	202263	"11"	"0"	"10"	"010"	"2019"	"12"	"17"	"3"	"3"	"2"	"6"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	811181.196578	5829153.07064	13.587787108	52.523417405	"0"	c(811181.196577744, 5829153.07064027, 0.0246999999944819)
"4884"	202265	"11"	"0"	"04"	"004"	"2019"	"12"	"15"	"2"	"3"	"1"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	791927.235717	5827194.87504	13.303103581	52.516512958	"1"	c(791927.235716699, 5827194.87504291, 0.0316000000020722)
