"","id","name","year","AI1303","AI1302","AI1304","AI1305","VER001","VER002","VER005","VER056"
"184",1,"Schleswig-Holstein",2017,NA,52.4,3.5,559.8,15127,12528,2214,2599
"185",1,"Schleswig-Holstein",1996,NA,NA,NA,NA,18240,14307,2996,3933
"186",1,"Schleswig-Holstein",1997,NA,NA,NA,NA,18379,14549,2947,3830
"187",1,"Schleswig-Holstein",1998,NA,NA,NA,NA,18249,14376,3136,3873
"188",1,"Schleswig-Holstein",1999,NA,NA,NA,NA,18860,14979,3185,3881
"189",1,"Schleswig-Holstein",2001,NA,NA,NA,NA,17483,13950,2845,3533
"190",1,"Schleswig-Holstein",2002,NA,NA,NA,NA,17695,14072,3028,3623
"191",1,"Schleswig-Holstein",2003,NA,NA,NA,NA,16986,13561,2866,3425
"192",1,"Schleswig-Holstein",2004,NA,NA,NA,NA,16268,12827,2877,3441
"193",2,"Hamburg",1995,150.2,70.8,2.7,712.1,12079,9323,1981,2756
"194",2,"Hamburg",2000,131.9,72.7,2.4,728.2,12430,9684,2114,2746
"195",2,"Hamburg",2005,116.7,64.4,2.5,641.5,11201,8788,1991,2413
"196",2,"Hamburg",2006,110.8,60.6,1.6,588.2,10591,8190,1977,2401
"197",2,"Hamburg",2007,134.7,62.5,1.7,600.2,11016,8426,2186,2590
"198",2,"Hamburg",2008,137.3,63.4,2.3,603.2,11232,8594,2206,2638
"199",2,"Hamburg",2009,127.7,59.1,1.9,562.8,10517,8022,2115,2495
"200",2,"Hamburg",2010,114.1,53.5,1.2,515.3,9528,7217,1987,2311
"201",2,"Hamburg",2011,120,59,2,569.5,10101,7704,2003,2397
"202",2,"Hamburg",2012,118.2,58.2,1.9,569.6,10050,7691,1958,2359
"203",2,"Hamburg",2013,115.1,56.6,1.5,541.5,9857,7443,2059,2414
"204",2,"Hamburg",2014,116.5,57.5,2.2,563,10088,7787,1921,2301
"205",2,"Hamburg",2015,116.5,57.8,1.1,568,10252,7881,2030,2371
"206",2,"Hamburg",2016,115.7,57.4,1.6,544.8,10325,7795,2138,2530
"207",2,"Hamburg",2018,108.5,54.4,1.6,527.9,9995,7677,0,2318
"208",2,"Hamburg",2017,NA,55.5,1.5,526.4,10097,7572,2169,2525
"209",2,"Hamburg",1996,NA,NA,NA,NA,11374,8827,1775,2547
"210",2,"Hamburg",1997,NA,NA,NA,NA,11738,9186,1789,2552
"211",2,"Hamburg",1998,NA,NA,NA,NA,11781,9264,1869,2517
"212",2,"Hamburg",1999,NA,NA,NA,NA,12255,9566,2055,2689
"213",2,"Hamburg",2001,NA,NA,NA,NA,11978,9410,1972,2568
"214",2,"Hamburg",2002,NA,NA,NA,NA,11757,9383,1782,2374
